  Natural Resources Canada,Geological Survey of Canada,Geoscience Data Repository,BASIN Database
Date: January 18,2021,12:05 pm AST

Well Name,GSC #,Unique Well Identifier,Original Spud Year,Operator,Area,Basin,Status
HIBERNIA B-16 31,N206,331 B16 46500 48450,2001,HMDC,Grand Banks,JEANNE D'ARC BASIN,INJEC
HIBERNIA B-16 32,N209,332 B16 46500 48450,2002,HMDC,Grand Banks,JEANNE D'ARC BASIN,INJEC
HIBERNIA B-16 32Y,N373,332 B16 46500 48452,2012,HMDC,Grand Banks,JEANNE D'ARC BASIN,PROD
HIBERNIA B-16 32Z,N313,332 B16 46500 48451,2006,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 33,N211,333 B16 46500 48450,2002,HMDC,Grand Banks,JEANNE D'ARC BASIN,PROD
HIBERNIA B-16 34,N216,334 B16 46500 48450,2002,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 34Y,N233,334 B16 46500 48452,2003,HMDC,Grand Banks,JEANNE D'ARC BASIN,PROD
HIBERNIA B-16 34Z,N219,334 B16 46500 48451,2002,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 35,N228,335 B16 46500 48450,2002,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 35Z,N450,335 B16 46500 48451,2017,HMDC,Grand Banks,JEANNE D'ARC BASIN,INJEC
HIBERNIA B-16 36,N223,336 B16 46500 48450,2002,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 36Z,N459,336 B16 46500 48451,2018,HMDC,Grand Banks,JEANNE D'ARC BASIN,INJEC
HIBERNIA B-16 37,N226,337 B16 46500 48450,2002,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 37Z,N351,337 B16 46500 48451,2009,HMDC,Grand Banks,JEANNE D'ARC BASIN,INJEC
HIBERNIA B-16 38,N224,338 B16 46500 48450,2002,HMDC,Grand Banks,JEANNE D'ARC BASIN,PROD
HIBERNIA B-16 39,N232,339 B16 46500 48450,2002,HMDC,Grand Banks,JEANNE D'ARC BASIN,INJEC
HIBERNIA B-16 4,N148,304 B16 46500 48450,1997,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 40,N231,340 B16 46500 48450,2002,HMDC,Grand Banks,JEANNE D'ARC BASIN,PROD
HIBERNIA B-16 41,N239,341 B16 46500 48450,2003,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 41Z,N444,341 B16 46500 48451,2017,HMDC,Grand Banks,JEANNE D'ARC BASIN,PROD
HIBERNIA B-16 42,N242,342 B16 46500 48450,2003,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 42Z,N368,342 B16 46500 48451,2011,HMDC,Grand Banks,JEANNE D'ARC BASIN,PROD
HIBERNIA B-16 43,N253,343 B16 46500 48450,2003,HMDC,Grand Banks,JEANNE D'ARC BASIN,PROD
HIBERNIA B-16 44,N255,344 B16 46500 48450,2004,HMDC,Grand Banks,JEANNE D'ARC BASIN,INJEC
HIBERNIA B-16 45,N256,345 B16 46500 48450,2004,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 45Z,N380,345 B16 46500 48451,2012,HMDC,Grand Banks,JEANNE D'ARC BASIN,PROD
HIBERNIA B-16 46,N261,346 B16 46500 48450,2004,HMDC,Grand Banks,JEANNE D'ARC BASIN,PROD
HIBERNIA B-16 47,N262,347 B16 46500 48450,2004,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 47Z,N366,347 B16 46500 48451,2011,HMDC,Grand Banks,JEANNE D'ARC BASIN,PROD
HIBERNIA B-16 48,N266,348 B16 46500 48450,2004,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 48Y,N362,348 B16 46500 48452,2010,HMDC,Grand Banks,JEANNE D'ARC BASIN,PROD
HIBERNIA B-16 48Z,N361,348 B16 46500 48451,2010,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 49,N265,349 B16 46500 48450,2004,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 49Y,N442,349 B16 46500 48452,2017,HMDC,Grand Banks,JEANNE D'ARC BASIN,PROD
HIBERNIA B-16 49Z,N273,349 B16 46500 48451,2004,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 4Y,N464,304 B16 46500 48452,2018,HMDC,Grand Banks,JEANNE D'ARC BASIN,PROD
